2023-02-15 11:01:02 INFO  SecurityConfig:27 - Configuration complete
2023-02-15 11:01:47 WARN  FOUserAgent:97 - The following feature isn't implemented by Apache FOP, yet: table-layout="auto" (on fo:table) (No context info available)
2023-02-15 11:01:47 WARN  FOUserAgent:97 - The following feature isn't implemented by Apache FOP, yet: table-layout="auto" (on fo:table) (No context info available)
2023-02-15 11:01:48 WARN  FOUserAgent:94 - Font "Symbol,normal,700" not found. Substituting with "Symbol,normal,400".
2023-02-15 11:01:48 WARN  FOUserAgent:94 - Font "ZapfDingbats,normal,700" not found. Substituting with "ZapfDingbats,normal,400".
2023-02-15 11:01:48 INFO  FOUserAgent:83 - Rendered page #1.
2023-02-15 11:05:45 INFO  SecurityConfig:27 - Configuration complete
2023-02-15 11:07:38 INFO  SecurityConfig:27 - Configuration complete
2023-02-15 11:10:09 INFO  SecurityConfig:27 - Configuration complete
2023-02-15 11:11:55 INFO  SecurityConfig:27 - Configuration complete
2023-02-15 11:12:27 INFO  SecurityConfig:27 - Configuration complete
2023-02-15 11:12:31 WARN  FOUserAgent:97 - The following feature isn't implemented by Apache FOP, yet: table-layout="auto" (on fo:table) (No context info available)
2023-02-15 11:12:31 WARN  FOUserAgent:97 - The following feature isn't implemented by Apache FOP, yet: table-layout="auto" (on fo:table) (No context info available)
2023-02-15 11:12:31 WARN  FOUserAgent:94 - Font "Symbol,normal,700" not found. Substituting with "Symbol,normal,400".
2023-02-15 11:12:31 WARN  FOUserAgent:94 - Font "ZapfDingbats,normal,700" not found. Substituting with "ZapfDingbats,normal,400".
2023-02-15 11:12:32 INFO  FOUserAgent:83 - Rendered page #1.
2023-02-15 11:12:32 WARN  FOUserAgent:97 - The following feature isn't implemented by Apache FOP, yet: table-layout="auto" (on fo:table) (No context info available)
2023-02-15 11:12:32 WARN  FOUserAgent:97 - The following feature isn't implemented by Apache FOP, yet: table-layout="auto" (on fo:table) (No context info available)
2023-02-15 11:12:32 WARN  FOUserAgent:94 - Font "Symbol,normal,700" not found. Substituting with "Symbol,normal,400".
2023-02-15 11:12:32 WARN  FOUserAgent:94 - Font "ZapfDingbats,normal,700" not found. Substituting with "ZapfDingbats,normal,400".
2023-02-15 11:12:32 INFO  FOUserAgent:83 - Rendered page #1.
